id,Tanggal / Waktu Kejadian,Minggu,Bulan,Tahun,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Kode Jenis Kejadian,Nama Kejadian,Jenis Bencana,is_bencana,Jumlah Kejadian,Meninggal,Hilang,Luka / Sakit,Menderita,Mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
fa5b474a-2804-45bd-b267-88e05cc3b663,2025-10-13 15:00:00.177,42,10,2025,32,Jawa Barat,32.18,Pangandaran,1010,Banjir,Banjir,True,1.0,0,0,0,1350,0,0,0,0,457,0,0,0,0,0
5286a193-f56a-4efb-91d3-d5664ac0a351,2025-10-13 00:30:00.967,42,10,2025,32,Jawa Barat,32.06,Tasikmalaya,1010,Banjir,Banjir,True,1.0,0,0,0,95,0,0,0,0,19,0,0,0,0,0
4ea374b8-6e31-4898-9b61-6b72d714e0d5,2025-09-30 15:30:00.667,40,9,2025,32,Jawa Barat,32.01,Bogor,1010,Banjir,Banjir,True,1.0,0,0,0,153,0,0,0,0,40,0,0,0,0,0
20563f27-09f7-4403-bc59-0084ed9f0241,2025-09-26 19:30:00.167,39,9,2025,32,Jawa Barat,32.01,Bogor,1020,Tanah Longsor,Longsor,True,1.0,0,0,1,31,0,1,1,7,0,0,0,0,0,0
e4f66518-3149-4ae8-b4f9-23ff30525e26,2025-09-18 09:45:00.714,38,9,2025,32,Jawa Barat,32.15,Karawang,1010,Banjir,Banjir,True,1.0,0,0,0,165,0,0,0,0,45,0,0,0,0,0
7b94b2d2-c8dd-4d0f-b181-b3c3352bc2cf,2025-09-14 21:00:00.589,37,9,2025,32,Jawa Barat,32.01,Bogor,1010,Banjir,Banjir,True,1.0,0,0,0,60,0,0,0,0,20,0,0,0,0,0
4935403c-57bf-4a6d-88ff-7adafae01013,2025-08-17 17:30:00.792,33,8,2025,32,Jawa Barat,32.15,Karawang,1010,Banjir,Banjir,True,1.0,0,0,0,1242,0,0,0,0,405,0,0,0,0,0
5966f2e2-141b-4a26-a888-7a6504add8d6,2025-08-12 18:30:00.582,33,8,2025,32,Jawa Barat,32.01,Bogor,1010,Banjir,Banjir,True,1.0,0,0,0,108,0,0,0,0,30,0,0,0,0,0
5fb8bb33-aed1-433c-9cf0-5665c88b3fe1,2025-08-12 04:00:00.871,33,8,2025,32,Jawa Barat,32.01,Bogor,1020,Tanah Longsor,Longsor,True,0.5,0,0,0,0,5,0,0,1,0,0,0,0,0,0
2e9666a4-4d4f-49f8-a79e-7cb1ec3b051f,2025-08-12 04:00:00.871,33,8,2025,32,Jawa Barat,32.01,Bogor,1022,Gerakan Tanah,Longsor,True,0.5,0,0,0,22,8,2,0,4,0,0,0,0,0,0
